metric,test_size,trial,seed,accuracy
l1,0.2,1,1,1.0
l1,0.2,2,2,1.0
l1,0.2,3,3,0.5
l1,0.2,4,4,1.0
l1,0.2,5,5,1.0
l1,0.2,6,6,0.5
l1,0.2,7,7,0.5
l1,0.2,8,8,0.5
l1,0.2,9,9,0.5
l1,0.2,10,10,1.0
l1,0.3,1,1,0.6666666666666666
l1,0.3,2,2,1.0
l1,0.3,3,3,0.6666666666666666
l1,0.3,4,4,1.0
l1,0.3,5,5,1.0
l1,0.3,6,6,0.6666666666666666
l1,0.3,7,7,0.6666666666666666
l1,0.3,8,8,0.6666666666666666
l1,0.3,9,9,0.3333333333333333
l1,0.3,10,10,1.0
l1,0.4,1,1,1.0
l1,0.4,2,2,0.75
l1,0.4,3,3,0.5
l1,0.4,4,4,1.0
l1,0.4,5,5,1.0
l1,0.4,6,6,0.75
l1,0.4,7,7,0.75
l1,0.4,8,8,0.75
l1,0.4,9,9,0.25
l1,0.4,10,10,1.0
l2,0.2,1,1,1.0
l2,0.2,2,2,1.0
l2,0.2,3,3,1.0
l2,0.2,4,4,1.0
l2,0.2,5,5,1.0
l2,0.2,6,6,0.5
l2,0.2,7,7,0.5
l2,0.2,8,8,1.0
l2,0.2,9,9,1.0
l2,0.2,10,10,1.0
l2,0.3,1,1,0.6666666666666666
l2,0.3,2,2,1.0
l2,0.3,3,3,1.0
l2,0.3,4,4,1.0
l2,0.3,5,5,1.0
l2,0.3,6,6,0.6666666666666666
l2,0.3,7,7,0.6666666666666666
l2,0.3,8,8,1.0
l2,0.3,9,9,0.3333333333333333
l2,0.3,10,10,1.0
l2,0.4,1,1,1.0
l2,0.4,2,2,0.75
l2,0.4,3,3,0.5
l2,0.4,4,4,1.0
l2,0.4,5,5,1.0
l2,0.4,6,6,0.75
l2,0.4,7,7,0.75
l2,0.4,8,8,1.0
l2,0.4,9,9,0.25
l2,0.4,10,10,1.0
